name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,procedure,equipment,capability,specialties,source_doc
"109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana",['+233249354576' '+233203928883'],,['waafweb.org'],,,,,,,,109/No 1 Bekwai Rd (Near Mexico Hotel),,,Takoradi,Ghana,,,,,,,,,"WAAF is committed to battling HIV/AIDS, TB, and other conditions through grassroot initiatives throughout communities. The main objectives for WAAF are to deliver prevention, behavioral, care and support services for the general population but with emphasis on vulnerable populations. Our ultimate goal is a future where HIV and AIDS is no longer an epidemic, and people are no longer stigmatized. The organization’s vision and mission guide for daily and long-term operations, as detailed in the organization’s strategic plan document.",,,,[],[],"['Has a location at 109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana'
 'Specialties include HIV, AIDS, PMTCT, Behavior Change Communication, HIV Testing and Counseling, Community Outreach, Stigma Reduction, Hospice / Home Based Care, global health, and public health']",,CSV Seed
2BN Military Hospital,[],,[],,,,,,,,,,,Apremdo,Western,,,,,,,,,"2BN Military Hospital is a quasi-government hospital in Western, Apremdo Ghana.",,,,[],[],[],,CSV Seed
"3E Medical Center - Accra, Ghana",['+233534382738'],3emedicalcenter@gmail.com,['3emedicalcenter.org'],,,,,,,,,,,Accra,Ghana,,,,,,,,,A health care institution providing patient treatment with specialized medical and nursing staff.,,,,[],[],"['Located in Accra, Ghana' 'Always open' 'Phone: +233 53 438 2738'
 'Email: 3emedicalcenter@gmail.com'
 'Website: http://www.3emedicalcenter.org']",,CSV Seed
3Way Family Care Clinic,['+233551236606'],,[],,,,,,,,"Behind Cuzi Soap Training Centre, Krofrom Light Industrial Area",,,Acherensua,Asutifi South,,,,,,,,,,,,,[],[],[],,CSV Seed
Abomosu Health Centre,[],,[],,,,,,,,,,,Abomosu,Ghana,,,,,,,,,,,,,[],[],"['Located in Abomosu, Ghana' 'Is categorized as a hospital on Facebook'
 'Is an unofficial page for Abomosu Health Centre'
 'Page created on April 21, 2019'
 'Has 35 likes, 35 followers, and 2,118 check-ins'
 ""Page shows 'Always open' status""]",,CSV Seed
Aboraa Hospital,[],,[],,,,,,,,Ring Road Central,,,Accra,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
Abuakwa Maternity Home,[],,[],,,,,,,,,,,Abuakwa,Ashanti,,,,,,,,,"Abuakwa Maternity Home is a private maternity home in Ashanti, Abuakwa Ghana.",,,,[],[],"['Abuakwa Maternity Home is a private maternity home located in Ashanti, Abuakwa, Ghana.'
 'Listed in categories: Doctors and Clinics; Hospitals; Pregnancy and Child Birth; Maternity Services; Maternity Homes.'
 'Registered with GhanaYello on 12 Apr 2018']",,CSV Seed
Abura Health Centre,['+233209261873'],,[],,,,,,,,P.O. Box 49,,,Abura,Ghana,,,,,,,,,Health Centre offering general services; government-owned; NHIS accredited.,,,,[],[],"['Abura Health Centre is a Government-owned Health Centre.'
 'Location: P.O.BOX 49, DHA, ABURA.' 'Telephone: 020-926-187-3.'
 'Services: General.' 'NHIS accredited: yes']",,CSV Seed
Accra Newtown Islamic Hospital,['+233302229301' '+233576638624'],,[],,,,,,,,Obaakrowa Close,,,Accra Newtown,Ghana,,,,,,,,,Modern Healthcare for everybody. We do all types of laboratory test 24/7. Ultra modern theatre for Major and Minor surgeries. 24 / 7 Dispensary for all types of medications.,,,,"['Provides ultrasound scanning' 'Provides X-ray imaging'
 'Offers major and minor surgeries in an ultra-modern theatre'
 'Performs laboratory testing (24/7)']",['Ultra-modern operating theatre' 'On-site laboratory facilities'],"['Laboratory tests conducted 24/7' 'Pharmacy services available 24/7'
 'Dialysis Center on site'
 'ANIH app enables appointment scheduling and access to medical records'
 'Insurance partnerships with Metro, Glico, Star, ACE Medical, and NHIS']",,CSV Seed
Accra Physiotherapy & Sports Injury Clinic,[],,[],,,,,,,,127/21 Saflo Link,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Located at 127/21 Saflo Link, Abelemkpe, Accra, Ghana'
 'Listed in GhanaBusinessWeb as Accra Physiotherapy & Sports Injury Clinic in Health Clinics category']",,CSV Seed
